status,x,y,z,azimuth,elevation,roll,button,quality,time,image_ts,image_filename
0x0000,234.962,147.898,-31.589,1.732,-49.735,-109.609,1,3,1743801346658,1743801346659,data_Color_1743801346659.68212890625000.png
0x0000,235.074,148.01,-31.924,1.859,-49.068,-109.701,1,3,1743801346725,1743801346726,data_Color_1743801346726.59790039062500.png
0x0000,235.186,147.898,-32.37,1.819,-48.59,-109.635,1,3,1743801346791,1743801346793,data_Color_1743801346793.94726562500000.png
0x0000,235.521,147.786,-32.705,1.644,-48.085,-109.458,1,3,1743801346858,1743801346861,data_Color_1743801346861.64428710937500.png
0x0000,235.967,147.786,-33.263,1.574,-47.162,-109.388,1,3,1743801346925,1743801346928,data_Color_1743801346928.23071289062500.png
0x0000,236.302,148.01,-33.598,1.826,-46.092,-109.657,1,3,1743801346991,1743801346995,data_Color_1743801346995.50048828125000.png
0x0000,236.413,148.121,-33.375,2.227,-45.771,-110.148,1,3,1743801347058,1743801347062,data_Color_1743801347062.81005859375000.png
0x0000,236.413,148.233,-33.04,2.525,-45.931,-110.5,1,4,1743801347124,1743801347129,data_Color_1743801347129.84716796875000.png
0x0000,236.19,148.233,-32.928,2.688,-46.163,-110.729,1,4,1743801347202,1743801347197,data_Color_1743801347197.01708984375000.png
0x0000,236.079,148.233,-32.593,2.795,-46.487,-110.89,1,4,1743801347268,1743801347264,data_Color_1743801347264.41357421875000.png
0x0000,235.744,148.233,-32.147,2.858,-47.296,-111.032,1,4,1743801347335,1743801347331,data_Color_1743801347331.37084960937500.png
0x0000,235.744,148.344,-31.7,2.992,-47.647,-111.194,1,4,1743801347402,1743801347398,data_Color_1743801347398.62402343750000.png
0x0000,235.632,148.344,-31.366,3.138,-47.835,-111.372,1,4,1743801347468,1743801347465,data_Color_1743801347465.90063476562500.png
0x0000,235.409,148.456,-30.919,3.292,-48.285,-111.594,1,4,1743801347535,1743801347533,data_Color_1743801347533.00170898437500.png
0x0000,235.186,148.456,-30.361,3.427,-48.877,-111.837,1,4,1743801347601,1743801347600,data_Color_1743801347600.22753906250000.png
0x0000,235.297,148.456,-30.138,3.526,-49.068,-111.972,1,4,1743801347668,1743801347667,data_Color_1743801347667.54248046875000.png
0x0000,235.297,148.456,-30.138,3.587,-49.026,-112.043,1,4,1743801347734,1743801347734,data_Color_1743801347734.60034179687500.png
0x0000,235.186,148.456,-30.026,3.661,-49.004,-112.106,1,4,1743801347801,1743801347801,data_Color_1743801347801.82128906250000.png
0x0000,235.074,148.568,-29.914,3.812,-49.026,-112.219,1,4,1743801347868,1743801347869,data_Color_1743801347869.45849609375000.png
0x0000,235.074,148.791,-29.691,4.018,-49.058,-112.384,1,4,1743801347934,1743801347936,data_Color_1743801347936.10888671875000.png
0x0000,235.074,148.903,-29.468,4.219,-49.036,-112.507,1,4,1743801348001,1743801348003,data_Color_1743801348003.46923828125000.png
0x0000,235.186,149.126,-29.356,4.404,-48.834,-112.632,1,5,1743801348067,1743801348070,data_Color_1743801348070.86547851562500.png
0x0000,234.739,149.572,-29.021,4.458,-48.358,-112.753,1,5,1743801348134,1743801348137,data_Color_1743801348137.81420898437500.png
0x0000,233.511,150.13,-28.687,4.158,-47.918,-112.646,1,5,1743801348200,1743801348205,data_Color_1743801348205.11523437500000.png
0x0000,232.507,150.688,-28.687,3.818,-47.564,-112.496,1,5,1743801348267,1743801348272,data_Color_1743801348272.56518554687500.png
0x0000,232.06,151.023,-28.463,3.612,-46.977,-112.454,1,5,1743801348333,1743801348339,data_Color_1743801348339.64477539062500.png
0x0000,232.953,151.581,-28.017,3.917,-45.381,-112.848,1,5,1743801348411,1743801348406,data_Color_1743801348406.71118164062500.png
0x0000,234.293,152.14,-27.682,4.54,-45.172,-113.257,1,5,1743801348478,1743801348473,data_Color_1743801348473.55883789062500.png
0x0000,235.186,152.586,-27.682,4.905,-45.6,-113.452,1,5,1743801348544,1743801348540,data_Color_1743801348540.69213867187500.png
0x0000,235.521,152.698,-27.794,5.101,-46.305,-113.539,1,5,1743801348611,1743801348607,data_Color_1743801348607.96044921875000.png
0x0000,235.409,152.698,-27.459,5.415,-48.802,-113.634,1,5,1743801348677,1743801348675,data_Color_1743801348675.10449218750000.png
0x0000,234.851,152.586,-27.124,5.796,-51.476,-113.756,1,5,1743801348744,1743801348742,data_Color_1743801348742.26831054687500.png
0x0000,235.074,152.586,-27.57,6.06,-52.867,-113.818,1,5,1743801348811,1743801348809,data_Color_1743801348809.57934570312500.png
0x0000,235.521,152.698,-28.24,5.966,-54.197,-113.649,1,5,1743801348877,1743801348876,data_Color_1743801348876.70751953125000.png
0x0000,235.855,153.033,-28.575,5.917,-56.333,-113.437,1,5,1743801348944,1743801348943,data_Color_1743801348943.89990234375000.png
0x0000,236.19,153.702,-28.798,6.062,-58.879,-113.204,1,6,1743801349010,1743801349011,data_Color_1743801349011.12109375000000.png
0x0000,236.748,154.26,-28.91,6.505,-61.045,-113.221,1,6,1743801349077,1743801349078,data_Color_1743801349078.34790039062500.png
0x0000,237.418,154.484,-29.133,7.0,-62.676,-113.469,1,6,1743801349143,1743801349145,data_Color_1743801349145.50390625000000.png
0x0000,238.088,154.484,-29.58,7.222,-63.89,-113.635,1,6,1743801349210,1743801349212,data_Color_1743801349212.73803710937500.png
0x0000,238.199,154.484,-29.914,7.169,-65.242,-113.576,1,6,1743801349277,1743801349280,data_Color_1743801349280.06079101562500.png
0x0000,238.311,154.372,-30.138,7.063,-66.772,-113.462,1,6,1743801349343,1743801349347,data_Color_1743801349347.10449218750000.png
0x0000,238.423,154.26,-30.473,7.307,-68.178,-113.651,1,6,1743801349410,1743801349414,data_Color_1743801349414.34936523437500.png
0x0000,238.534,154.26,-30.473,7.695,-69.777,-113.967,1,6,1743801349476,1743801349481,data_Color_1743801349481.61987304687500.png
0x0000,238.758,154.26,-30.249,8.367,-66.393,-114.46,1,6,1743801349543,1743801349548,data_Color_1743801349548.69995117187500.png
0x0000,239.092,154.26,-29.914,8.728,-68.604,-114.514,1,6,1743801349609,1743801349615,data_Color_1743801349615.95947265625000.png
0x0000,238.981,154.149,-29.245,8.665,-71.823,-113.954,1,6,1743801349687,1743801349683,data_Color_1743801349683.20800781250000.png
0x0000,238.981,154.372,-28.463,8.706,-74.718,-113.448,1,6,1743801349754,1743801349750,data_Color_1743801349750.28002929687500.png
0x0000,239.427,154.595,-27.905,9.144,-76.889,-113.428,1,6,1743801349820,1743801349817,data_Color_1743801349817.49365234375000.png
0x0000,239.874,154.93,-27.459,10.244,-78.13,-114.193,1,6,1743801349887,1743801349884,data_Color_1743801349884.81005859375000.png
0x0000,240.543,155.265,-27.012,11.448,-78.406,-115.25,1,6,1743801349953,1743801349951,data_Color_1743801349951.87670898437500.png
0x0000,240.878,155.6,-26.566,12.248,-78.381,-116.016,1,6,1743801350020,1743801350019,data_Color_1743801350019.11523437500000.png
0x0000,240.878,156.046,-26.231,12.591,-78.438,-116.368,1,6,1743801350086,1743801350086,data_Color_1743801350086.40771484375000.png
0x0000,240.878,156.604,-26.008,11.615,-78.884,-115.398,1,6,1743801350153,1743801350153,data_Color_1743801350153.48876953125000.png
0x0000,240.432,157.721,-26.677,1.451,-80.718,-105.326,1,6,1743801350220,1743801350220,data_Color_1743801350220.74194335937500.png
0x0000,239.985,158.39,-27.794,-15.786,-81.939,-87.985,1,6,1743801350286,1743801350287,data_Color_1743801350287.92163085937500.png
0x0000,239.985,159.283,-28.687,-37.338,-81.573,-66.147,1,6,1743801350353,1743801350355,data_Color_1743801350355.57788085937500.png
0x0000,240.209,160.4,-29.021,-53.853,-79.94,-49.302,1,6,1743801350419,1743801350422,data_Color_1743801350422.34350585937500.png
0x0000,240.655,161.627,-29.021,-62.447,-78.272,-40.536,1,6,1743801350486,1743801350489,data_Color_1743801350489.76123046875000.png
0x0000,240.767,163.078,-29.245,-66.569,-77.058,-36.161,1,6,1743801350552,1743801350556,data_Color_1743801350556.70190429687500.png
0x0000,240.99,164.306,-29.691,-69.64,-75.878,-32.878,1,6,1743801350619,1743801350623,data_Color_1743801350623.94921875000000.png
0x0000,241.548,165.534,-30.249,-71.803,-74.525,-30.466,1,6,1743801350686,1743801350691,data_Color_1743801350691.09521484375000.png
0x0000,242.329,166.874,-30.919,-73.21,-72.934,-28.775,1,6,1743801350763,1743801350758,data_Color_1743801350758.23413085937500.png
0x0000,243.111,167.99,-31.366,-73.917,-71.603,-27.969,1,6,1743801350830,1743801350825,data_Color_1743801350825.50244140625000.png
0x0000,243.446,168.771,-32.035,-74.863,-70.004,-26.842,1,6,1743801350896,1743801350892,data_Color_1743801350892.87744140625000.png
0x0000,243.557,169.664,-32.482,-76.38,-68.175,-25.029,1,7,1743801350963,1743801350959,data_Color_1743801350959.84667968750000.png
