status,x,y,z,azimuth,elevation,roll,button,quality,time
0x0000,213.866,150.354,-11.162,139.328,-83.836,111.559,1,4,1743801343.907
0x0000,213.866,150.354,-11.05,139.328,-83.836,111.559,1,4,1743801343.918
0x0000,213.754,150.242,-11.05,139.275,-83.841,111.559,1,4,1743801343.929
0x0000,213.754,150.242,-11.05,139.275,-83.843,111.589,1,4,1743801343.94
0x0000,213.754,150.242,-11.05,139.275,-83.843,111.589,1,4,1743801343.951
0x0000,213.754,150.242,-11.05,139.275,-83.843,111.589,1,4,1743801343.962
0x0000,213.754,150.242,-11.05,139.275,-83.843,111.589,1,4,1743801343.973
0x0000,213.754,150.242,-11.05,139.221,-83.845,111.665,1,4,1743801343.984
0x0000,213.643,150.242,-11.05,139.221,-83.845,111.665,1,4,1743801343.996
0x0000,213.643,150.242,-11.05,139.221,-83.845,111.665,1,4,1743801344.007
0x0000,213.643,150.242,-11.05,139.275,-83.841,111.665,1,4,1743801344.018
0x0000,213.643,150.242,-11.05,139.275,-83.839,111.635,1,4,1743801344.029
0x0000,213.643,150.242,-11.05,139.275,-83.841,111.559,1,4,1743801344.04
0x0000,213.643,150.242,-11.05,139.275,-83.841,111.559,1,4,1743801344.051
0x0000,213.643,150.13,-11.05,139.275,-83.841,111.559,1,4,1743801344.062
0x0000,213.643,150.13,-11.05,139.275,-83.841,111.559,1,4,1743801344.073
0x0000,213.643,150.13,-11.05,139.275,-83.841,111.559,1,4,1743801344.084
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.559,1,4,1743801344.095
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.559,1,4,1743801344.106
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.559,1,4,1743801344.118
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.559,1,4,1743801344.129
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.559,1,4,1743801344.14
0x0000,213.643,150.13,-11.05,139.328,-83.834,111.529,1,4,1743801344.151
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.453,1,4,1743801344.162
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.453,1,4,1743801344.173
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.453,1,4,1743801344.184
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.453,1,4,1743801344.195
0x0000,213.643,150.13,-11.05,139.328,-83.836,111.453,1,4,1743801344.206
0x0000,213.643,150.13,-11.05,139.39,-83.839,111.453,1,4,1743801344.217
0x0000,213.643,150.13,-11.05,139.443,-83.835,111.453,1,4,1743801344.228
0x0000,213.643,150.13,-11.05,139.443,-83.835,111.453,1,4,1743801344.24
0x0000,213.643,150.13,-11.05,139.443,-83.835,111.453,1,4,1743801344.251
0x0000,213.643,150.13,-11.05,139.443,-83.835,111.453,1,4,1743801344.262
0x0000,213.643,150.13,-11.05,139.443,-83.833,111.423,1,4,1743801344.273
0x0000,213.643,150.13,-11.05,139.443,-83.835,111.348,1,4,1743801344.284
0x0000,213.643,150.13,-11.05,139.443,-83.835,111.348,1,4,1743801344.295
0x0000,213.643,150.13,-11.05,139.443,-83.835,111.348,1,4,1743801344.306
0x0000,213.643,150.13,-11.05,139.496,-83.83,111.348,1,4,1743801344.317
0x0000,213.754,150.13,-11.05,139.496,-83.83,111.348,1,4,1743801344.328
0x0000,213.754,150.13,-11.05,139.496,-83.83,111.348,1,4,1743801344.339
0x0000,213.754,150.13,-11.05,139.496,-83.828,111.318,1,4,1743801344.351
0x0000,213.754,150.13,-11.05,139.549,-83.826,111.242,1,4,1743801344.362
0x0000,213.754,150.13,-11.05,139.549,-83.826,111.242,1,4,1743801344.373
0x0000,213.754,150.13,-11.162,139.611,-83.829,111.242,1,4,1743801344.384
0x0000,213.754,150.13,-11.162,139.611,-83.829,111.242,1,4,1743801344.395
0x0000,213.754,150.13,-11.162,139.663,-83.824,111.137,1,4,1743801344.406
0x0000,213.754,150.13,-11.162,139.663,-83.824,111.137,1,4,1743801344.417
0x0000,213.754,150.13,-11.162,139.716,-83.817,111.107,1,4,1743801344.428
0x0000,213.754,150.019,-11.162,139.716,-83.819,111.032,1,4,1743801344.439
0x0000,213.754,150.019,-11.162,139.768,-83.815,111.032,1,4,1743801344.45
0x0000,213.754,150.019,-11.162,139.768,-83.813,111.003,1,4,1743801344.461
0x0000,213.754,150.019,-11.162,139.768,-83.813,111.003,1,4,1743801344.473
0x0000,213.754,150.019,-11.162,139.821,-83.808,111.003,1,4,1743801344.484
0x0000,213.754,150.019,-11.162,139.821,-83.806,110.973,1,4,1743801344.495
0x0000,213.754,150.019,-11.162,139.873,-83.803,110.898,1,4,1743801344.506
0x0000,213.754,150.019,-11.162,139.873,-83.801,110.869,1,4,1743801344.517
0x0000,213.754,150.019,-11.162,139.935,-83.804,110.869,1,4,1743801344.528
0x0000,213.754,150.019,-11.162,139.987,-83.8,110.869,1,4,1743801344.539
0x0000,213.754,150.019,-11.162,139.987,-83.797,110.84,1,4,1743801344.55
0x0000,213.754,150.019,-11.162,140.039,-83.793,110.84,1,4,1743801344.561
0x0000,213.754,150.019,-11.162,140.039,-83.795,110.764,1,4,1743801344.572
0x0000,213.754,150.019,-11.162,140.039,-83.792,110.736,1,4,1743801344.583
0x0000,213.754,150.019,-11.162,139.977,-83.789,110.736,1,4,1743801344.595
0x0000,213.754,150.019,-11.162,140.029,-83.784,110.736,1,4,1743801344.606
0x0000,213.754,150.019,-11.162,140.029,-83.784,110.736,1,4,1743801344.617
0x0000,213.754,150.019,-11.162,140.029,-83.782,110.707,1,4,1743801344.628
0x0000,213.754,150.019,-11.162,140.029,-83.782,110.707,1,4,1743801344.639
0x0000,213.754,150.019,-11.162,140.081,-83.778,110.707,1,4,1743801344.65
0x0000,213.754,150.019,-11.162,140.081,-83.778,110.707,1,4,1743801344.661
0x0000,213.754,149.907,-11.162,140.081,-83.775,110.679,1,4,1743801344.672
0x0000,213.754,149.907,-11.162,140.081,-83.775,110.679,1,4,1743801344.683
0x0000,213.754,149.907,-11.162,140.081,-83.775,110.679,1,4,1743801344.695
0x0000,213.754,149.907,-11.162,140.133,-83.771,110.679,1,4,1743801344.705
0x0000,213.754,149.907,-11.162,140.133,-83.771,110.679,1,4,1743801344.717
0x0000,213.754,149.907,-11.162,140.133,-83.771,110.679,1,4,1743801344.728
0x0000,213.754,149.907,-11.162,140.133,-83.773,110.603,1,4,1743801344.739
0x0000,213.754,149.907,-11.162,140.194,-83.774,110.575,1,4,1743801344.75
0x0000,213.754,149.907,-11.05,140.194,-83.774,110.575,1,4,1743801344.761
0x0000,213.754,149.907,-11.05,140.194,-83.774,110.575,1,4,1743801344.772
0x0000,213.754,149.907,-11.05,140.194,-83.776,110.603,1,4,1743801344.783
0x0000,213.754,149.907,-11.05,140.194,-83.776,110.603,1,4,1743801344.794
0x0000,213.754,149.907,-11.05,140.133,-83.771,110.679,1,4,1743801344.805
0x0000,213.754,149.907,-11.05,140.081,-83.775,110.679,1,4,1743801344.816
0x0000,213.866,149.907,-11.05,140.081,-83.778,110.707,1,4,1743801344.828
0x0000,213.866,149.907,-11.05,140.029,-83.784,110.736,1,4,1743801344.839
0x0000,213.866,149.907,-11.05,139.977,-83.787,110.811,1,4,1743801344.85
0x0000,213.866,149.907,-11.05,139.925,-83.796,110.869,1,4,1743801344.861
0x0000,213.866,149.796,-11.05,139.821,-83.806,110.973,1,4,1743801344.872
0x0000,213.866,149.796,-11.05,139.768,-83.813,111.003,1,4,1743801344.883
0x0000,213.866,149.796,-11.05,139.611,-83.831,111.166,1,4,1743801344.894
0x0000,213.866,149.796,-11.05,139.514,-83.854,111.331,1,4,1743801344.905
0x0000,213.866,149.796,-11.05,139.354,-83.874,111.42,1,4,1743801344.916
0x0000,213.978,149.796,-11.162,139.094,-83.917,111.679,1,4,1743801344.927
0x0000,213.978,149.796,-11.162,138.83,-83.958,112.018,1,4,1743801344.938
0x0000,213.978,149.684,-11.162,138.562,-84.003,112.316,1,4,1743801344.95
0x0000,214.089,149.684,-11.162,138.07,-84.08,112.83,1,4,1743801344.961
0x0000,214.201,149.684,-11.162,137.564,-84.157,113.357,1,4,1743801344.972
0x0000,214.201,149.684,-11.274,137.043,-84.231,113.865,1,4,1743801344.983
0x0000,214.313,149.684,-11.274,136.323,-84.327,114.651,1,4,1743801344.994
0x0000,214.424,149.572,-11.385,135.513,-84.413,115.389,1,4,1743801345.005
0x0000,214.424,149.572,-11.385,134.87,-84.491,116.112,1,4,1743801345.016
0x0000,214.536,149.572,-11.497,134.074,-84.57,116.9,1,3,1743801345.027
0x0000,214.647,149.572,-11.497,133.321,-84.64,117.754,1,3,1743801345.038
0x0000,214.647,149.572,-11.609,132.552,-84.698,118.457,1,3,1743801345.05
0x0000,214.759,149.572,-11.609,131.9,-84.758,119.092,1,3,1743801345.061
0x0000,214.759,149.461,-11.609,131.158,-84.821,119.88,1,3,1743801345.072
0x0000,214.871,149.461,-11.72,130.46,-84.889,120.603,1,3,1743801345.083
0x0000,214.871,149.461,-11.72,129.806,-84.964,121.261,1,3,1743801345.094
0x0000,214.982,149.461,-11.72,128.968,-85.046,122.137,1,3,1743801345.105
0x0000,214.982,149.461,-11.832,128.014,-85.138,123.073,1,3,1743801345.116
0x0000,215.094,149.461,-11.943,126.957,-85.259,124.234,1,3,1743801345.127
0x0000,215.205,149.461,-11.943,125.655,-85.388,125.59,1,3,1743801345.138
0x0000,215.317,149.461,-12.055,124.173,-85.525,127.079,1,3,1743801345.149
0x0000,215.429,149.461,-12.278,122.173,-85.698,129.23,1,3,1743801345.16
0x0000,215.54,149.461,-12.39,119.982,-85.867,131.401,1,3,1743801345.172
0x0000,215.652,149.461,-12.613,117.579,-86.03,133.869,1,3,1743801345.183
0x0000,215.764,149.461,-12.725,114.362,-86.207,137.187,1,3,1743801345.194
0x0000,215.875,149.349,-12.948,111.006,-86.363,140.554,1,3,1743801345.205
0x0000,215.987,149.349,-13.171,107.456,-86.496,143.995,1,3,1743801345.216
0x0000,216.098,149.349,-13.395,103.565,-86.623,147.926,1,3,1743801345.227
0x0000,216.21,149.349,-13.618,99.462,-86.723,152.155,1,3,1743801345.238
0x0000,216.322,149.349,-13.729,95.399,-86.804,156.231,1,3,1743801345.249
0x0000,216.322,149.349,-13.841,91.074,-86.871,160.55,1,3,1743801345.26
0x0000,216.433,149.349,-14.064,86.709,-86.918,165.08,1,3,1743801345.271
0x0000,216.545,149.237,-14.176,82.185,-86.95,169.596,1,3,1743801345.283
0x0000,216.657,149.237,-14.288,77.957,-86.964,173.845,1,3,1743801345.294
0x0000,216.768,149.237,-14.288,73.822,-86.976,177.941,1,3,1743801345.305
0x0000,216.768,149.237,-14.399,69.794,-86.962,-178.134,1,3,1743801345.316
0x0000,216.88,149.126,-14.511,66.264,-86.948,-174.437,1,3,1743801345.327
0x0000,216.991,149.126,-14.511,63.023,-86.929,-171.142,1,3,1743801345.338
0x0000,217.103,149.126,-14.622,59.848,-86.898,-168.121,1,3,1743801345.349
0x0000,217.215,149.126,-14.622,57.308,-86.87,-165.485,1,3,1743801345.36
0x0000,217.215,149.014,-14.622,54.689,-86.83,-162.962,1,3,1743801345.371
0x0000,217.326,149.014,-14.734,52.049,-86.791,-160.136,1,3,1743801345.382
0x0000,217.438,149.014,-14.734,49.362,-86.741,-157.629,1,3,1743801345.393
0x0000,217.55,149.014,-14.846,46.529,-86.667,-154.772,1,3,1743801345.405
0x0000,217.661,149.014,-14.957,43.403,-86.582,-151.492,1,3,1743801345.416
0x0000,217.773,149.014,-15.069,39.726,-86.47,-147.896,1,3,1743801345.427
0x0000,217.996,148.903,-15.292,35.93,-86.302,-144.037,1,3,1743801345.438
0x0000,218.219,148.903,-15.404,32.152,-86.121,-140.194,1,3,1743801345.449
0x0000,218.442,148.903,-15.739,27.42,-85.829,-135.45,1,3,1743801345.46
0x0000,218.666,148.791,-15.962,23.583,-85.499,-131.449,1,3,1743801345.471
0x0000,218.889,148.791,-16.297,20.038,-85.162,-127.903,1,3,1743801345.482
0x0000,219.112,148.791,-16.632,16.225,-84.677,-123.959,1,3,1743801345.493
0x0000,219.335,148.679,-16.966,13.392,-84.199,-121.115,1,3,1743801345.504
0x0000,219.559,148.679,-17.301,11.006,-83.745,-118.643,1,3,1743801345.516
0x0000,219.782,148.568,-17.636,8.763,-83.188,-116.398,1,3,1743801345.527
0x0000,220.005,148.568,-17.971,7.168,-82.631,-114.722,1,3,1743801345.538
0x0000,220.228,148.568,-18.194,5.641,-82.111,-113.073,1,3,1743801345.549
0x0000,220.34,148.456,-18.529,4.403,-81.52,-111.834,1,3,1743801345.56
0x0000,220.563,148.456,-18.864,3.497,-80.925,-110.906,1,3,1743801345.571
0x0000,220.675,148.456,-18.976,2.614,-80.381,-109.988,1,3,1743801345.582
0x0000,220.898,148.344,-19.199,1.968,-79.787,-109.29,1,3,1743801345.593
0x0000,221.01,148.344,-19.422,1.489,-79.205,-108.744,1,3,1743801345.604
0x0000,221.121,148.344,-19.534,1.019,-78.667,-108.239,1,3,1743801345.615
0x0000,221.233,148.344,-19.645,0.718,-78.104,-107.875,1,3,1743801345.626
0x0000,221.345,148.344,-19.757,0.444,-77.562,-107.592,1,3,1743801345.638
0x0000,221.456,148.344,-19.757,0.233,-77.044,-107.319,1,3,1743801345.649
0x0000,221.568,148.344,-19.869,0.037,-76.522,-107.103,1,3,1743801345.66
0x0000,221.679,148.344,-19.869,-0.108,-76.03,-106.933,1,3,1743801345.671
0x0000,221.791,148.456,-19.98,-0.174,-75.524,-106.809,1,3,1743801345.682
0x0000,221.903,148.456,-19.98,-0.336,-75.045,-106.615,1,3,1743801345.693
0x0000,222.014,148.456,-20.092,-0.458,-74.607,-106.439,1,3,1743801345.704
0x0000,222.126,148.456,-20.203,-0.476,-74.139,-106.416,1,3,1743801345.715
0x0000,222.238,148.456,-20.203,-0.619,-73.724,-106.281,1,3,1743801345.726
0x0000,222.349,148.456,-20.203,-0.757,-73.358,-106.145,1,3,1743801345.737
0x0000,222.461,148.456,-20.427,-0.711,-72.97,-106.149,1,3,1743801345.748
0x0000,222.461,148.456,-20.427,-0.785,-72.634,-106.109,1,3,1743801345.76
0x0000,222.572,148.456,-20.538,-0.886,-72.325,-106.032,1,3,1743801345.771
0x0000,222.684,148.456,-20.65,-0.899,-72.004,-106.038,1,3,1743801345.782
0x0000,222.796,148.456,-20.762,-0.913,-71.73,-106.029,1,3,1743801345.793
0x0000,222.907,148.456,-20.873,-0.954,-71.439,-106.039,1,3,1743801345.804
0x0000,223.019,148.456,-20.873,-0.966,-71.145,-106.041,1,3,1743801345.815
0x0000,223.131,148.456,-20.985,-0.98,-70.871,-106.065,1,3,1743801345.826
0x0000,223.242,148.344,-21.096,-0.965,-70.564,-106.11,1,3,1743801345.837
0x0000,223.354,148.344,-21.208,-1.002,-70.258,-106.129,1,3,1743801345.848
0x0000,223.577,148.344,-21.32,-0.962,-69.946,-106.178,1,3,1743801345.859
0x0000,223.689,148.344,-21.431,-0.947,-69.61,-106.253,1,3,1743801345.871
0x0000,223.8,148.344,-21.543,-0.932,-69.286,-106.286,1,3,1743801345.882
0x0000,224.024,148.344,-21.654,-0.869,-68.93,-106.396,1,3,1743801345.893
0x0000,224.135,148.344,-21.766,-0.784,-68.561,-106.49,1,3,1743801345.904
0x0000,224.358,148.344,-21.766,-0.725,-68.204,-106.594,1,3,1743801345.915
0x0000,224.47,148.456,-21.878,-0.621,-67.795,-106.728,1,3,1743801345.926
0x0000,224.693,148.456,-21.989,-0.497,-67.368,-106.872,1,3,1743801345.937
0x0000,224.917,148.456,-21.989,-0.422,-66.952,-106.975,1,3,1743801345.948
0x0000,225.14,148.456,-22.101,-0.283,-66.453,-107.128,1,3,1743801345.959
0x0000,225.363,148.456,-22.324,-0.171,-65.933,-107.31,1,3,1743801345.97
0x0000,225.586,148.456,-22.436,-0.084,-65.431,-107.404,1,3,1743801345.981
